GSM3905407_BCH825_BCH825.P02.A01	GSM3905407_BCH825_BCH825.P02.A03	GSM3905407_BCH825_BCH825.P02.A05	GSM3905407_BCH825_BCH825.P02.A07	GSM3905407_BCH825_BCH825.P02.A08	GSM3905407_BCH825_BCH825.P02.A09	GSM3905407_BCH825_BCH825.P02.A10	GSM3905407_BCH825_BCH825.P02.A11	GSM3905407_BCH825_BCH825.P02.B01	GSM3905407_BCH825_BCH825.P02.B02	GSM3905407_BCH825_BCH825.P02.B03	GSM3905407_BCH825_BCH825.P02.B04	GSM3905407_BCH825_BCH825.P02.B05	GSM3905407_BCH825_BCH825.P02.B06	GSM3905407_BCH825_BCH825.P02.B07	GSM3905407_BCH825_BCH825.P02.B08	GSM3905407_BCH825_BCH825.P02.B11	GSM3905407_BCH825_BCH825.P02.B12	GSM3905407_BCH825_BCH825.P02.C02	GSM3905407_BCH825_BCH825.P02.C03	GSM3905407_BCH825_BCH825.P02.C05	GSM3905407_BCH825_BCH825.P02.C06	GSM3905407_BCH825_BCH825.P02.C09	GSM3905407_BCH825_BCH825.P02.C10	GSM3905407_BCH825_BCH825.P02.C11	GSM3905407_BCH825_BCH825.P02.C12	GSM3905407_BCH825_BCH825.P02.D01	GSM3905407_BCH825_BCH825.P02.D03	GSM3905407_BCH825_BCH825.P02.D04	GSM3905407_BCH825_BCH825.P02.D05	GSM3905407_BCH825_BCH825.P02.D06	GSM3905407_BCH825_BCH825.P02.D07	GSM3905407_BCH825_BCH825.P02.D08	GSM3905407_BCH825_BCH825.P02.D09	GSM3905407_BCH825_BCH825.P02.D10	GSM3905407_BCH825_BCH825.P02.D11	GSM3905407_BCH825_BCH825.P02.D12	GSM3905407_BCH825_BCH825.P02.E01	GSM3905407_BCH825_BCH825.P02.E02	GSM3905407_BCH825_BCH825.P02.E05	GSM3905407_BCH825_BCH825.P02.E06	GSM3905407_BCH825_BCH825.P02.E07	GSM3905407_BCH825_BCH825.P02.E08	GSM3905407_BCH825_BCH825.P02.E09	GSM3905407_BCH825_BCH825.P02.E10	GSM3905407_BCH825_BCH825.P02.E11	GSM3905407_BCH825_BCH825.P02.E12	GSM3905407_BCH825_BCH825.P02.F01	GSM3905407_BCH825_BCH825.P02.F02	GSM3905407_BCH825_BCH825.P02.F03	GSM3905407_BCH825_BCH825.P02.F05	GSM3905407_BCH825_BCH825.P02.F06	GSM3905407_BCH825_BCH825.P02.F07	GSM3905407_BCH825_BCH825.P02.F08	GSM3905407_BCH825_BCH825.P02.F12	GSM3905407_BCH825_BCH825.P02.G01	GSM3905407_BCH825_BCH825.P02.G02	GSM3905407_BCH825_BCH825.P02.G05	GSM3905407_BCH825_BCH825.P02.G06	GSM3905407_BCH825_BCH825.P02.G09	GSM3905407_BCH825_BCH825.P02.G10	GSM3905407_BCH825_BCH825.P02.G11	GSM3905407_BCH825_BCH825.P02.G12	GSM3905407_BCH825_BCH825.P02.H04	GSM3905407_BCH825_BCH825.P02.H08	GSM3905407_BCH825_BCH825.P02.H09	GSM3905407_BCH825_BCH825.P02.H10	GSM3905407_BCH825_BCH825.P02.H12	GSM3905407_BCH825_BCH825.P06.A02	GSM3905407_BCH825_BCH825.P06.A03	GSM3905407_BCH825_BCH825.P06.A04	GSM3905407_BCH825_BCH825.P06.A05	GSM3905407_BCH825_BCH825.P06.A06	GSM3905407_BCH825_BCH825.P06.A07	GSM3905407_BCH825_BCH825.P06.A08	GSM3905407_BCH825_BCH825.P06.A09	GSM3905407_BCH825_BCH825.P06.A10	GSM3905407_BCH825_BCH825.P06.B01	GSM3905407_BCH825_BCH825.P06.B02	GSM3905407_BCH825_BCH825.P06.B03	GSM3905407_BCH825_BCH825.P06.B04	GSM3905407_BCH825_BCH825.P06.B05	GSM3905407_BCH825_BCH825.P06.B06	GSM3905407_BCH825_BCH825.P06.B07	GSM3905407_BCH825_BCH825.P06.B08	GSM3905407_BCH825_BCH825.P06.B09	GSM3905407_BCH825_BCH825.P06.B12	GSM3905407_BCH825_BCH825.P06.C04	GSM3905407_BCH825_BCH825.P06.C05	GSM3905407_BCH825_BCH825.P06.C07	GSM3905407_BCH825_BCH825.P06.C08	GSM3905407_BCH825_BCH825.P06.C09	GSM3905407_BCH825_BCH825.P06.D04	GSM3905407_BCH825_BCH825.P06.D06	GSM3905407_BCH825_BCH825.P06.D07	GSM3905407_BCH825_BCH825.P06.D08	GSM3905407_BCH825_BCH825.P06.D09	GSM3905407_BCH825_BCH825.P06.D12	GSM3905407_BCH825_BCH825.P06.E01	GSM3905407_BCH825_BCH825.P06.E03
CDC25C	3.887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.561	0	0	0	0	0	0	0	0	4.252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.865	0
PROS1	0	0	0	3.799	0	0	0	0	0	0	0	0	0	0	0	0	5.048	0	0	0	0	0	0	0	0	0	0	0.663	0	0	0	0	0	4.374	0	0	0	0	0	3.267	0	0	0	0	0	0	3.342	0	0	0	0	0	0	0	0	3.747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.082	0	0	0	0	3.69	0	1.908	0	0	0	0	0.915	0	0	1.366	0	0	0.568	0	0	0	0	0	0	0
PCDHB8	0.299	0	0	0	0	0	0	0.997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.821	0	0	0	0	0	0	0	0	0	0	0	2.102	0	0	0	0	0	0	0	0	2.687	0	0	0	0	0	0	0	0	0	0	0	0	0	0.516	0	0	0	0	0	0	0	0	0	0	0	0	0	0.849	0	0	0	0	1.296	0	0.392	0.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7	1.25	0	0	1.031	0	0.003	0	0.557	0	0	0.541	0	0	0	0	0	0	0	0	0	0.473	4.12	0	4.774	0	0	0.639	0	0	0	0	0	0	0	0	0.577	0	0	4.774	0	0	0	0	2.895	0	4.476	0	0	0	0	0	0	3.87	0	0	0.227	0	0	0.411	0	5.004	0	0	0	4.112	0	0	0	0	0	0.938	0	0	2.949	2.936	0	0	0	3.104	0	0	0	0	0	0	0	2.519	0	0	0	0	0	3.195	4.716	0	0	0	0	3.703	0
TP53TG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	4.415	0	0	4.496	0	0	0	0	0	0	0	0	0	0	3.217	0	0	0	4.086	0	0	0	0	0	0	0	5.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.637	0	0	0	0	0	4.724	4.064	0	0	0	0	0	0	4.127	0	0	0	0	0	0	0	0	4.796	0	4.078	0	0	5.046	0	0	0	0	0	0	0	5.753	4.282	3.464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.062	0	0	4.705	0
KIF2C	3.061	0	2.19	2.432	0	0	1.133	4.966	1.141	0	0.712	0	0	0	3.491	3.01	0	0	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.393	0	0	0	0	0	1.663	0	0	4.777	0	4.03	0	0	0	0	2.88	3.436	0	0	0	0	2.232	0	0	0	0	0	2.25	0	5.922	0	5.285	0	0	2.961	0	2.59	0	0	0	0	2.661	0	0	0	0	0	0	2.589	5.868	0	0	0	0	0	0	0	0	1.862	0	0	0	0
RPL38	4.614	6.229	6.914	5.252	6.979	7.566	6.835	6.439	7.098	5.634	7.172	7.151	6.995	7.286	6.076	4.141	7.715	6.15	7.149	4.225	5.034	7.151	5.682	6.104	6.905	4.14	0	6.867	7.551	6.546	0	6.502	0	7.095	5.953	5.831	6.703	6.61	4.927	6.614	7.599	6.721	7.563	5.645	7.75	7.529	5.188	5.701	5.246	5.549	8.254	8.361	7.103	6.984	7.53	6.02	7.252	0	7.735	7.258	3.395	6.495	0	8.13	7.229	6.427	7.265	6.236	7.317	7.206	8.023	7.278	4.931	7.634	5.459	8.621	6.456	5.898	5.519	6.302	8.103	7.145	6.387	6.751	7.146	7.652	7.657	7.174	5.379	5.832	7.553	7.417	7.515	7.553	7.895	8.083	7.249	6.839	5.831	5.254
ZNF727	6.007	0	0	4.945	0	5.8	0	0	5.589	0	0	0	2.932	0	0	0	5.71	4.291	0	0	0	0	0	0	0	4.032	0	4.889	2.12	0	0	0	0	3.514	0	0	0	0	0	0	5.936	0	5.501	0	0	0	4.942	0	2.802	6.452	0	0	0	0	0	3.87	0	0	5.407	0	0	0	0	0	0	0	0.32	0	3.957	0	1.098	0	3.951	0	5.947	0	0	0	0	4.1	0	0	0	0	0	0	0	0	0	0	7.297	4.529	4.014	0	2.073	0	0	0	0	6.238
SLC25A1	0	0	0	0	0	0	0	1.183	0	0	0	0	0	0	1.078	0	0	0	0	0	0	0	0	0	5.599	4.35	0	4.284	0	0	0	0	0	0	0	0	3.063	0	0	0	0	0	0	4.895	0	0	0	2.877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09	0	0	1.797	4.911	0	5.681	0	0	0	3.978	0
ACSL1	0	0	0	0	0	0	0	0	1.495	0	0	0	0	0	0	1.581	0	4.322	0	0	3.066	0	0	0	0	0	2.901	0	0	0	0	0	5.981	0	0	0	1.848	0	0	5.721	0	0	0	2.631	4.4	0	0	0	0	0	0	0	0	0.445	0	0	0	0	0	1.975	0	0	0	0	0	0	0	0	0.653	0	0	0	0	0.559	0	0	0	0	0	0	0	1.844	0	0	0	1.274	0	0	4.211	5.359	0	0	0	0	0	3.898	2.681	0	0	0
STX8	0	0	0	0	0	3.644	0	0	0	0	0	0	0	0	0	2.18	0	0	0	0	0	0	0	0	0	0	5.129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.219	0	0	0	0	0	4.602	0	0	0	0	0	0	0	0	0	0	0	0	0	4.966	0	0	0	0	0	0	3.42	0	0	0	0	0	0	0	5.237	0	0	6.482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB26	0	0	0	0	4.358	0	0	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.527	3.529	0	0	0	0	0	0	5.334	3.645	0	0	0	0	0	0	0	0	2.857	0	0	0	0	0	0	0	0	3.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PALMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CABP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CINP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.662	2.468	3.31	0	0	0	0	0	5.755	0	0	0	0	0	0	0	0	0	0	0	0.854	0	0	0	0	0	0	0	0	0	0	0	0	4.939	0	0	0	0	0	0	3.997	1.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.039	0	0	0	0	5.494	0	0
KCTD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.585	0	0	0	0	0	2.214	0	0	0	0	0	0	0	0	0	0	0	3.267	0	0	0	0	0	0	2.422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28	0	0	0	0	0	0	0.649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARV1	0	0	0	4.546	0	0	0	0	6.665	0	0	5.827	0	0	0	0	0	0	5.306	0	5.498	0	0	0	0	0	0	0	0	0	0	0	0	2.553	0	5.105	3.908	0	0	0	0	0	3.828	0	0	3.839	0	0	4.675	0	0	0	0	4.516	0	0	0	0	0	0	0	0	0	2.787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.096	0	0	5.522	5.731	0	0	2.454	0	0	4.861	0	0	0	0	0	0	6.21	0	0	4.857
MPC1	3.821	0	0	0	0	0	0	0	6.079	0	6.816	5.199	0	0	0	4.814	0	4.8	4.057	6.305	0	5.594	6.368	0	0	4.988	0	0	0	0	0	0	0	0	0	0	5.859	5.518	0	0	0	6.056	0	5.518	0	7.282	4.314	5.415	5.172	5.585	6.116	0	0	0	0	3.401	0	6.769	5.74	0	0	0	0	0	5.223	0	5.823	0	5.707	0	0	4.235	5.454	5.019	0	0	0	0	4.118	4.389	0	5.227	0	5.864	6.029	0	0	0	0	0	0	0	3.801	5.389	0	4.364	0	0	4.299	0
TMEM186	3.763	0	0	0	0	0	0	0	5.139	0	0	0	0	0	0	5.202	0	2.304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.114	0	0	0	0	0	0	0	0	4.123
PTRHD1	2.399	0	0	0	0	0	0	0	0	0	0	0	0	0	4.308	0	0	4.084	0	7.03	0	0	0	0	0	0	0	4.392	0	0	0	0	0	0	0	4.871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.22	0	0	0	4.133	6.123	0	0	2.18	4.178	0	0	0	0	0	0	0	0	0	0	0	0	5.204	0	2.536	0	0	0	0	5.632	0	0	0	0	0	0
RCBTB2	0	0	2.707	3.267	0	0	0	0	0	0	0	0	0	0	0	0	0	5.545	0	0	3.15	0	2.225	0	0	2.917	0	0	0	0	0	3.532	0	0	0	2.245	4.833	4.505	0	0	0	2.543	0	0	0	3.52	1.446	0	2.225	0.704	0	0	2.965	3.104	0	0	0	0	1.174	0	6.195	0	0	0	5.097	0	4.581	0	0.755	0	0	3.734	3.106	3.561	1.637	0	0	4.673	3.175	4.712	0	0	3.172	0	0	0	0	4.041	0	0	0	0	0	0	0	0	3.427	0	0	6.087
PRNP	6.939	6.324	4.84	4.994	6.02	4.032	6.92	4.948	6.403	7.205	6.287	0	6.793	7.252	3.832	0	5.964	3.942	4.431	0	6.31	4.676	7.805	0.68	6.734	7.355	5.266	6.26	0	0	0	7.012	0	5.282	1.52	5.361	5.809	0	5.832	6.431	7.005	4.933	7.628	0.258	5.836	4.847	6.613	5.149	4.593	6.182	5.163	5.601	0	5.008	1.496	6.236	5.328	7.805	4.354	0	6.589	6.468	0	0	4.819	6.81	3.128	2.569	0	5.863	6.439	3.861	5.429	4.306	5.215	0	0	0	4.065	4.287	5.218	4.573	6.665	6.218	0	0	2.223	5.28	5.767	6.836	6.652	5.668	7.695	0	4.891	3.963	6.959	2.987	4.297	5.023
SLC8A1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAV1	0	0	0	0	0	0	0	0	0	0	5.163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.83	0	0	0	0	0	0	0	2.04	0	0	0	0	0	0	0	0	0	0	0	3.889
HEBP1	0	0	0	0	0	0	6.364	0	0	0	0	0	0	0	0	5.154	0	0	0	0	0	2.285	0	0	0	0	0	1.88	0	5.533	0	0	0	5.178	0	0	0	0	0	4.106	0	0	0	0	0	0	0	0	0	5.606	0	0	0	0	0	0	0	0	0	0	5.083	0	0	0	0	0	5.323	0	0	0	0	0	4.549	0	4.176	2.73	0	0	2.42	3.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD55	0	0	0	0	0	0	2.23	0	0	0	0	6.051	0	0	0	0	0	0	0	0	0	0	0	0	4.669	4.265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.199	0	0	0	0	0	0	0	0	0	0	0	0	0.962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPM1	4.225	0	0	1.628	0	0	0	0	0	0	0	0	0	0	5.2	0	0	0	0	7.515	0	0	0	0	0	0	0	6.464	0	0	0	0	0	0	0	0	0	0.943	2.047	0	0	0	0	0	0	3.36	2.68	4.977	0	0	0	0	0	0	0	6.132	0	0	0	6.286	0	0	0	6.566	5.368	0	5.372	0	0	0	0	0	0	0	0	4.368	0	0	4.717	3.83	0	0	0	0	6.624	0	5.383	0	0	0	5.445	2.206	5.847	0	0	0	0	0	6.044	0
ZNF724P	5.233	0	0	0	0	4.84	0	0	0	0	0	6.21	0	0	2.871	0	0	0	0	0	0	0	0	0	0	0	0	0	2.657	0	0	0	0	0	4.285	2.573	0	0	0	0	0	0	0	3.952	0	0	3.516	4.931	0	0	0	0	3.029	0	0	4.725	0.355	0	0	0	0	0	0	0	4.078	0	0	0	0	0	4.894	0	0	4.651	5.29	0	0	0	0	4.03	0	0	0	0	4.449	0	0	0	0	0	0	0	3.452	0	0	0	0	0	0	0
SLC35G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUTC	1.809	0	0	0	0	0	6.342	0	0	0	0	0	0	5.378	4.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.191	0	0	0	4.99	5.46	0	0	0	3.915	0	4.032	0	0	0	0	3.992	0	0	0	0	5.645	0	0	0	0	0	0	0	0	2.834	0	0	0	0	0	0	0	0	0	0	0	0	0	2.812	3.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBXN8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	0	4.908	0	0	0	0	0	0	0	0	0	0	0	6.629	0	0	0	0	0	0	0	0	0	0	0	4.215	0	0	0	0	0	0	0	1.574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.737	0	0	0	0	0	0	0	0	0	0
GLS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM80	0	0	0	0	0	0	0	0	0	0	0	5.317	0	0	0	5.346	0	0	0	0	0	0	0	0	0	0	0	0.727	0	0	0	0	5.607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.515	0	0	0	0	0	3.225	2.71	0	5.607	6.082	0	0	0	0	0	2.184	0	0	4.195	0	0	0	0	0	0	0
LOC729852	1.31	0	0	0	0	0.547	0	6.316	4.282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.185	0	0	0	0	0	0	0	0	5.178	0	0	0	0	0	0	0	0	0	3.048	4.157	0	0	0	0	0	0	0	0	3.752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.124	0	0	0	2.85
GPR75-ASB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.891	0	0	0	0	0	0	0	0	0	5.728	0	0	0	0	0	0	0	0	0.647	0	0	0	0	0	0	0	0	0	5.404	5.607	4.29	4.6	0	4.973	0	0	0	0	0	5.574	0	0	0	0	0	0	5.055	1.076	0	4.717	1.675	0	0	0	1.584	0	0	0	0	0	0	0	0	5.864	0	0	0	0	0	0	0	0	5.385	0	0	3.545	0	0	0	0	0	0	0
MTERFD1	0	0	4.894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.799	0	0	0	0	0	4.212	0	0	0	4.274	0	0	0	0	0	0	0	0	0	0	6.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.186	0	0	0	0	0	0	0	1.814	0	0	0	0	0	3.402	0
CAP2	4.658	0	0	0	0	0	0	1.171	0	0	0	0	0	0	0	0	4.806	0	0	0	0	0	0	0	2.702	0	0	5.097	0	0	0	0	0	0	4.675	4.206	0	0	0	0	0	0	4.684	0	0	0	2.682	3.962	1.909	0	0	0	0	4.102	2.043	4.088	0	0	0	0	0	2.423	0	0	0	1.051	0	0	0	2.718	0.685	0	2.288	0	1.685	0	4.212	0	0	0	0	0	0	4.865	0	1.759	0	0	4.099	0	0	3.953	0	0	0	0	0	0	0	4.595
LGR5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCSHP3	0	0	0	0	0	0	0	0	0	4.233	0	0	2.744	0	3.491	0	2.269	0	1.336	0	3.189	4.132	0	0	5.736	0	0	0	0	4.952	0	0	0	4.239	0	4.799	0	0	0	0	0	0	0	3.824	0	0	0	0	0	0	0	0	0	0	0	3.838	0	0	0	3.948	0	0	0	0	0	5.823	0	0	0	2.159	0	0	0.734	0	0	0	0	6.583	0	0	0	4.019	0	0	0	0	4.935	0	0	0	4.545	0	0	0	0	0	0	0	0	0
PORCN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCPEP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8orf40	3.19	0	0	0	0	0	0	0	0	0	0	0	5.545	0	0	0	0	0	0	0	0	0	0	0	0	3.784	6.424	3.562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.266	0	0	5.31	2.956	5.769	0	0	0	0	0	0	0	3.853	0	0	5.267	0	0	0	0	0	0	0	4.713	0	0	0	0	5.121	0	3.605	0	5.078	0	0	0	0	0	0	0	0	0	5.187	4.311	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL6A	5.229	0	0	0	0	0	0	0	0	0	0	0	0	0	4.695	1.323	6.233	4.702	4.139	6.291	0	0	0	0	0	0	4.717	5.329	0	4.898	0	0	0	0	0	2.276	0	0	0	0	2.401	6.279	0	5.459	6.384	5.45	0	6.475	6.737	0	4.349	0	5.599	0	0	0	0	0	6.226	0	4.468	0	0	0	0	0	6.388	0	2.9	3.694	0	3.882	0	0	0	0	6.055	0	4.849	3.771	5.701	0	0	5.24	0	0	5.08	0	0	0	0	0	5.817	5.751	0	0	0	0	5.225	4.856
PRTFDC1	6.233	0	1.343	0	0	0	0	2.308	0	0	0	0	0	0	0	0	0	0	4.237	0	0	0	0	0	0	0.683	0	4.489	2.767	0	0	0	0	0	0	4.713	2.858	2.674	0	0	0	0	0	0	0	0	4.398	4.272	0	3.522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.835	0	0	0	0	3.848	0	0	0	0	0	5.371	3.924	3.458	0	0	0	0	0	0	0	0	0	0	0	0	0
HAUS8	4.36	0	1.021	4.535	0	0	0	3.352	0	0	0	0	0	0	3.77	5.046	0	0	4.294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.102	0	0	0	0	0	0	4.435	0	0	0	0	0	0	0	0	3.372	0	0	0	0	0	0	0	1.627	0	0	0	4.208	0	0.656	0	1.341	4.619	0	4.322	4.504	1.181	0	0	0	0	4.244	0	0	0	0	0	0	0	0	0	1.485	0	0	0	0	0	0	0	0	0	4.497	0
MACROD2-AS1	0	0	0	0	0	0	5.251	0	6.199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.95	0	1.86	0	0	0	0	0	0	0	3.442	1.409	5.141	0	0	0	4.736	0	4.024	2.039	0	0	0	0	0	0	0	0	0	0	1.052	0	0	0	0	0	4.789	0	0	0	0	0	0	0	0	0	3.952	3.617	0	0	0	0	0	0	0	0	0	0	0	0	0	3.16	0	0	0	0	0	3.275	0	0	0	3.269	0	0	0
SAMD10	0	0	0	3.136	0	0	0	0	0	0	0	0	0	0	0	5.029	0	3.656	0	0	0	4.427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.859	0	0	0	0	2.978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.332	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
